"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Shop API","0","Orders","3","0","Create Order","0"
"0","Shop API","0","Orders","4","0","Admin Orders","0"
"0","Shop API","0","Authentication","2","0","Registration","0"
"0","Shop UI","0","Login","1","0","Navigation","0"
"0","Shop UI","0","Admin Panel","2","0","Admin Orders","0"
"0","Shop API","0","Orders","3","0","View Orders","0"
"0","Shop API","0","Products","6","0","Product Management","0"
"0","Shop API","0","Cart","3","0","Add to Cart","0"
"0","Shop API","0","Products","2","0","Product Details","0"
"0","Shop UI","0","Cart","1","0","Checkout","0"
"0","Shop UI","0","Cart","1","0","Remove Item","0"
"0","Shop UI","0","Product Page","2","0","Add to Cart","0"
"0","Shop UI","0","Home Page","1","0","Sort","0"
"0","Shop UI","0","Registration","1","0","Duplicate Registration","0"
"0","Shop UI","0","Product Page","1","0","Product Details","0"
"0","Shop UI","0","Home Page","1","0","Page Load","0"
"0","Shop API","0","Cart","1","0","Update Cart","0"
"0","Shop API","0","Authentication","3","0","User Profile","0"
"0","Shop UI","0","Orders","1","0","Order List","0"
"0","Shop UI","0","Admin Panel","2","0","Admin Products","0"
"0","Shop API","0","Products","5","0","Product List","0"
"0","Shop UI","0","Cart","1","0","Update Quantity","0"
"0","Shop UI","0","Cart","1","0","View Cart","0"
"0","Shop UI","0","Login","1","0","Invalid Login","0"
"0","Shop UI","0","Home Page","1","0","Pagination","0"
"0","Shop UI","0","Registration","1","0","Valid Registration","0"
"0","Shop UI","0","Orders","1","0","Order Details","0"
"0","Shop API","0","Authentication","2","0","Login","0"
"0","Shop UI","0","Home Page","1","0","Search","0"
"0","Shop UI","0","Login","1","0","Logout","0"
"0","Shop UI","0","Registration","1","0","Navigation","0"
"0","Shop API","0","Cart","1","0","View Cart","0"
"0","Shop API","0","Cart","2","0","Remove from Cart","0"
"0","Shop UI","0","Home Page","1","0","Filter","0"
"0","Shop UI","0","Login","1","0","Valid Login","0"
"0","Shop UI","0","Cart","1","0","Clear Cart","0"
